choice,dataset,num_points,sampling_mode,rre,rte,psnr,lpips,ssim,quality
COLMAP,bicycle,17352,,0.0986,0.006893,21.33245086669922,0.36376556754112244,0.4795043170452118,0.3573433696410345
VGGT,bicycle,1000,confidence,0.857,0.067143,18.248929977416992,0.6796619892120361,0.3301962912082672,0.017928704803372643
VGGT,bicycle,1000,imagefps,0.7161,0.065623,18.239673614501953,0.6945605278015137,0.3313649594783783,0.009244093653286637
VGGT,bicycle,1000,random,0.857,0.067143,18.250102996826172,0.6826565265655518,0.3305303752422333,0.016297318317272175
VGGT,bicycle,1000,voxels,0.7161,0.065623,18.17292022705078,0.6976091861724854,0.33221903443336487,0.006625490966286321
VGGT,bicycle,5000,confidence,0.857,0.067143,17.83434295654297,0.5569833517074585,0.30621522665023804,0.07195470703353046
VGGT,bicycle,5000,imagefps,0.7161,0.065623,17.939878463745117,0.5742349624633789,0.30846455693244934,0.06457532366194307
VGGT,bicycle,5000,random,0.857,0.067143,17.85049819946289,0.5575035810470581,0.30527377128601074,0.07138219028420847
VGGT,bicycle,5000,voxels,0.7161,0.065623,17.95667839050293,0.5852620005607605,0.31117650866508484,0.059665556462110136
VGGT,bicycle,10000,confidence,0.857,0.067143,17.82270050048828,0.520179033279419,0.2980472445487976,0.08968122335437681
VGGT,bicycle,10000,imagefps,0.7161,0.065623,17.84850311279297,0.536382794380188,0.30037569999694824,0.08151839769374558
VGGT,bicycle,10000,random,0.857,0.067143,17.79636001586914,0.5176759958267212,0.29754316806793213,0.0904437398817572
VGGT,bicycle,10000,voxels,0.7161,0.065623,17.848243713378906,0.548616349697113,0.3017392158508301,0.07475939433709458
VGGT,bicycle,23814,ba,0.5899,0.03799,17.808753967285156,0.5057863593101501,0.30061763525009155,0.09981047332557946
VGGT,bicycle,50000,confidence,0.857,0.067143,17.645341873168945,0.48337990045547485,0.2811870276927948,0.09925254247961612
VGGT,bicycle,50000,imagefps,0.7161,0.065623,17.63716697692871,0.4633345603942871,0.276795357465744,0.10890659401368755
VGGT,bicycle,50000,random,0.857,0.067143,17.59831428527832,0.44869765639305115,0.27449196577072144,0.1158752129634067
VGGT,bicycle,50000,voxels,0.7161,0.065623,17.71558952331543,0.49058446288108826,0.2859232723712921,0.09887589786330009
VGGT,bicycle,100000,confidence,0.857,0.067143,17.63112449645996,0.47884395718574524,0.2726677358150482,0.09680718067329071
VGGT,bicycle,100000,imagefps,0.7161,0.065623,17.572731018066406,0.43997159600257874,0.26474905014038086,0.11509029430720315
VGGT,bicycle,100000,random,0.7161,0.065623,17.558757781982422,0.4272405803203583,0.26381954550743103,0.12214661237092046
VGGT,bicycle,100000,voxels,0.7161,0.065623,17.701284408569336,0.4775100648403168,0.27940016984939575,0.10286692456814901
VGGT,bicycle,500000,confidence,0.857,0.067143,17.478744506835938,0.48836278915405273,0.2627239525318146,0.08229442886751615
VGGT,bicycle,500000,imagefps,0.7161,0.065623,17.416305541992188,0.4346194267272949,0.24428988993167877,0.10353291325169467
VGGT,bicycle,500000,random,0.857,0.067143,17.479581832885742,0.40770307183265686,0.24472229182720184,0.12157259690753822
VGGT,bicycle,500000,voxels,0.7161,0.065623,17.65646743774414,0.4586644172668457,0.2626705467700958,0.1038866911405399
VGGT,bicycle,1000000,confidence,0.857,0.067143,17.415529251098633,0.49945589900016785,0.264018177986145,0.07503303430388708
VGGT,bicycle,1000000,imagefps,0.7161,0.065623,17.42530059814453,0.45269572734832764,0.24213017523288727,0.09127828705380539
VGGT,bicycle,1000000,random,0.857,0.067143,17.43742561340332,0.4110182821750641,0.23839884996414185,0.11504758082093014
VGGT,bicycle,1000000,voxels,0.7161,0.065623,17.626007080078125,0.4595857858657837,0.255382776260376,0.09849201029504251
COLMAP,bonsai,80892,,0.1581,0.013152,22.422779083251953,0.20355287194252014,0.6968405842781067,0.6035285908886177
VGGT,bonsai,1000,confidence,0.7897,0.107121,17.988094329833984,0.5428732633590698,0.608706533908844,0.2604073870871422
VGGT,bonsai,1000,imagefps,0.7215,0.105749,18.063308715820312,0.5464736223220825,0.6130127906799316,0.26209608109606175
VGGT,bonsai,1000,random,0.7897,0.107121,17.979167938232422,0.5369040369987488,0.6107745170593262,0.2651361380404199
VGGT,bonsai,1000,voxels,0.7215,0.105749,18.032917022705078,0.5445523858070374,0.6130148768424988,0.2627204404084848
VGGT,bonsai,5000,confidence,0.7897,0.107121,17.85919761657715,0.47532233595848083,0.5968945622444153,0.2928109284807444
VGGT,bonsai,5000,imagefps,0.7215,0.105749,17.858966827392578,0.48267611861228943,0.5963529944419861,0.2879505762812222
VGGT,bonsai,5000,random,0.7897,0.107121,17.889978408813477,0.4770657420158386,0.5969281792640686,0.29232442564899225
VGGT,bonsai,5000,voxels,0.7215,0.105749,17.909542083740234,0.485567569732666,0.5993819832801819,0.28887364723374115
VGGT,bonsai,10000,confidence,0.7897,0.107121,17.83123779296875,0.4545397460460663,0.5916619300842285,0.3020618943675452
VGGT,bonsai,10000,imagefps,0.7215,0.105749,17.823955535888672,0.46750667691230774,0.5920202732086182,0.2941323168251404
VGGT,bonsai,10000,random,0.7897,0.107121,17.87259292602539,0.45988789200782776,0.592063844203949,0.29976144299404894
VGGT,bonsai,10000,voxels,0.7215,0.105749,17.83707618713379,0.47007468342781067,0.5937869548797607,0.2938232498172043
VGGT,bonsai,23220,ba,0.5792,0.034349,19.14580726623535,0.3529313802719116,0.6036095023155212,0.3961138712887333
VGGT,bonsai,50000,confidence,0.7897,0.107121,17.73988151550293,0.42416703701019287,0.5793397426605225,0.3119127397184019
VGGT,bonsai,50000,imagefps,0.7215,0.105749,17.715805053710938,0.4414813816547394,0.5793818235397339,0.3008036209516048
VGGT,bonsai,50000,random,0.7897,0.107121,17.745101928710938,0.42596033215522766,0.5798444151878357,0.3111975718582505
VGGT,bonsai,50000,voxels,0.7215,0.105749,17.758358001708984,0.4413530230522156,0.583223283290863,0.3039173399031046
VGGT,bonsai,100000,confidence,0.7897,0.107121,17.729904174804688,0.4186680316925049,0.5755217671394348,0.31288968765402553
VGGT,bonsai,100000,imagefps,0.7215,0.105749,17.69141387939453,0.4343869090080261,0.5734401345252991,0.30125656470298146
VGGT,bonsai,100000,random,0.7215,0.105749,17.731338500976562,0.4183982312679291,0.5749688744544983,0.31275946366624285
VGGT,bonsai,100000,voxels,0.7215,0.105749,17.696062088012695,0.43298473954200745,0.5782884359359741,0.30504344333062466
VGGT,bonsai,500000,confidence,0.7897,0.107121,17.68769645690918,0.4167061746120453,0.5684430003166199,0.30917945641678135
VGGT,bonsai,500000,imagefps,0.7215,0.105749,17.610759735107422,0.4331241548061371,0.5586441159248352,0.29188980488439437
VGGT,bonsai,500000,random,0.7897,0.107121,17.64688491821289,0.4154469966888428,0.5641154646873474,0.3066702349144116
VGGT,bonsai,500000,voxels,0.7215,0.105749,17.621179580688477,0.4225020706653595,0.5687911510467529,0.30457354571774375
VGGT,bonsai,1000000,confidence,0.7897,0.107121,17.688114166259766,0.4190678596496582,0.5680431723594666,0.307495543986191
VGGT,bonsai,1000000,imagefps,0.7215,0.105749,17.569461822509766,0.4340345561504364,0.5553447008132935,0.28863357006535273
VGGT,bonsai,1000000,random,0.7897,0.107121,17.634593963623047,0.4154748320579529,0.5606600642204285,0.3044047402901801
VGGT,bonsai,1000000,voxels,0.7215,0.105749,17.607959747314453,0.42158353328704834,0.5656386017799377,0.3030521363078037
COLMAP,lego,10313,,10.4784,0.403756,22.786890029907227,0.06574113667011261,0.8507940173149109,0.7853716059773675
VGGT,lego,870,confidence,0.2976,0.018838,20.773061752319336,0.1276174783706665,0.7849150896072388,0.6713575283531401
VGGT,lego,870,imagefps,0.2976,0.018838,20.732013702392578,0.1312786191701889,0.7838835716247559,0.6677341889335862
VGGT,lego,870,random,0.2976,0.018838,20.80647087097168,0.12634418904781342,0.7851104140281677,0.6728764216066413
VGGT,lego,870,voxels,0.2976,0.018838,20.66238784790039,0.12895366549491882,0.7830423712730408,0.6673880478172352
VGGT,lego,4350,confidence,0.2976,0.018838,20.55731201171875,0.10766437649726868,0.7761982083320618,0.6745813009489505
VGGT,lego,4350,imagefps,0.2976,0.018838,20.58719825744629,0.10751638561487198,0.7772645950317383,0.6758497202934732
VGGT,lego,4350,random,0.2976,0.018838,20.567495346069336,0.10715185850858688,0.7760917544364929,0.675023996603419
VGGT,lego,4350,voxels,0.2976,0.018838,20.553871154785156,0.10797790437936783,0.7756953239440918,0.6740299612090059
VGGT,lego,8700,confidence,0.2976,0.018838,20.55201530456543,0.10328426957130432,0.7754263877868652,0.6767356264428552
VGGT,lego,8700,imagefps,0.2976,0.018838,20.51663589477539,0.10324668139219284,0.77437424659729,0.6754883675218171
VGGT,lego,8700,random,0.2976,0.018838,20.5560359954834,0.103163942694664,0.7753990888595581,0.67686839524688
VGGT,lego,8700,voxels,0.2976,0.018838,20.601343154907227,0.10275178402662277,0.7772859930992126,0.679065288420309
VGGT,lego,27774,ba,0.2685,0.015949,22.96965217590332,0.07458535581827164,0.8368433117866516,0.7751383883001123
VGGT,lego,43500,confidence,0.2976,0.018838,20.575944900512695,0.09686783701181412,0.7743822336196899,0.6805289114757045
VGGT,lego,43500,imagefps,0.2976,0.018838,20.61343765258789,0.09669386595487595,0.7750223875045776,0.6817049702376493
VGGT,lego,43500,random,0.2976,0.018838,20.571998596191406,0.09747566282749176,0.7742735147476196,0.6800170523575019
VGGT,lego,43500,voxels,0.2976,0.018838,20.54008674621582,0.09730445593595505,0.7736892104148865,0.6791900769989547
VGGT,lego,87000,confidence,0.2976,0.018838,20.61480140686035,0.09459185600280762,0.7748991250991821,0.6829556786758394
VGGT,lego,87000,imagefps,0.2976,0.018838,20.58357048034668,0.09591566771268845,0.7741469144821167,0.6811202712129508
VGGT,lego,87000,random,0.2976,0.018838,20.61736488342285,0.09517913311719894,0.7747763395309448,0.6825688293008852
VGGT,lego,87000,voxels,0.2976,0.018838,20.561214447021484,0.09585598111152649,0.7731336951255798,0.6801505882372867
VGGT,lego,435000,confidence,0.2976,0.018838,20.576032638549805,0.09324343502521515,0.7731208801269531,0.6820301878095989
VGGT,lego,435000,imagefps,0.2976,0.018838,20.610553741455078,0.09459139406681061,0.7736690640449524,0.6821579694012065
VGGT,lego,435000,random,0.2976,0.018838,20.579578399658203,0.09366791695356369,0.7729958891868591,0.6817607300536365
VGGT,lego,435000,voxels,0.2976,0.018838,20.573318481445312,0.09295640140771866,0.7737110257148743,0.6825022212652666
VGGT,lego,870000,confidence,0.2976,0.018838,20.59653091430664,0.09229299426078796,0.7734269499778748,0.683175465555606
