method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,inference_time,peak_memory_mb,peak_memory_reserved_mb,processing_time,sfm_file_path,input_folder,output_folder,initial_points,failed_sfm_file_path,gsplat_cfg_file_path,plot_series,num_images_jitter
colmap,10,42,,,,,,,0,10,minfarthestpose,10,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat_cfg,,outdoor,,,,,,,,,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000/stats/config.json,,bicycle_4_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000,,,,,,,,,,,,,bicycle_4_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000/stats/config.json,colmap,10.0
colmap,10,42,,,,,,,0,10,minfarthestpose,10,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat_cfg,,indoor,,,,,,,,,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000/stats/config.json,,bonsai_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000,,,,,,,,,,,,,bonsai_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000/stats/config.json,colmap,10.0
colmap,10,42,,,,,,,0,10,minfarthestpose,10,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat_cfg,,synthetic,,,,,,,,,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n10_s42_default_mpinhole_minfarthestpose_sharedcam_i10_gteval_steps15000/stats/config.json,,ship_1_n10_s42_default_mpinhole_minfarthestpose_sharedcam_i10_gteval_steps15000,,,,,,,,,,,,,ship_1_n10_s42_default_mpinhole_minfarthestpose_sharedcam_i10_gteval_steps15000,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n10_s42_default_mpinhole_minfarthestpose_sharedcam_i10_gteval_steps15000/stats/config.json,colmap,10.0
colmap,20,42,,67,,,,,0,10,minfarthestpose,20,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,14.546066284179688,0.499622642993927,0.4738180339336395,64306,0.006353143136948347,0.5407867431640625,0.08383258432149887,0.10037008672952652,0.14448187705988697,0.42003787590540853,67,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n20_s42_default_mpinhole_minfarthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n20_s42_default_mpinhole_minfarthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,ship_1_n20_s42_default_mpinhole_minfarthestpose_sharedcam_i20_gteval_steps15000,0.5408,0.007211,3,0.234548,,,,2.050295352935791,6468,6468,0,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n20_s42_default_mpinhole_minfarthestpose_sharedcam/eval_results.json,ship_1_n20_s42_default_mpinhole_minfarthestpose_sharedcam,ship_1_n20_s42_default_mpinhole_minfarthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,67,,,colmap,20.0
colmap,20,42,,984,,,,,0,10,minfarthestpose,20,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,10.349443435668945,0.7991341948509216,0.3016880452632904,1000000,0.4587344527244568,28.534330368041992,,,-0.2187778469492197,0.5756845930135115,984,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,bonsai_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000,9.1207,2.010802,13,1.010898,,,,8.479376554489136,6712,6712,0,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n20_s42_default_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n20_s42_default_minfarthestpose_sharedcam,bonsai_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,984,,,colmap,20.0
colmap,20,42,,,,,,,0,10,minfarthestpose,20,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat_cfg,,outdoor,,,,,,,,,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000/stats/config.json,,bicycle_4_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000,,,,,,,,,,,,,bicycle_4_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000/stats/config.json,colmap,20.0
colmap,30,42,,172,,,,,0,10,minfarthestpose,30,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,16.88872718811035,0.4083384573459625,0.5996946692466736,183435,0.0208862517029047,3.2384636402130127,0.07897612452507019,0.05965162068605423,0.3178248165721162,0.3538352577892912,172,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n30_s42_default_mpinhole_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n30_s42_default_mpinhole_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,ship_1_n30_s42_default_mpinhole_minfarthestpose_sharedcam_i30_gteval_steps15000,3.2385,0.035257,6,0.5679,,,,3.161612033843994,6532,6532,0,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n30_s42_default_mpinhole_minfarthestpose_sharedcam/eval_results.json,ship_1_n30_s42_default_mpinhole_minfarthestpose_sharedcam,ship_1_n30_s42_default_mpinhole_minfarthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,172,,,colmap,30.0
colmap,30,42,,245,,,,,0,10,minfarthestpose,30,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,14.077865600585938,0.784950852394104,0.2591404318809509,264668,0.006391197443008423,0.3337806165218353,,,-0.16585948763147731,0.5615953835422857,245,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000,0.3338,0.009274,6,0.52756,,,,7.97350811958313,1434,1434,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n30_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n30_s42_default_minfarthestpose_sharedcam,bicycle_4_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,245,,,colmap,30.0
colmap,30,42,,7287,,,,,0,10,minfarthestpose,30,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,17.49349594116211,0.40983304381370544,0.5660527348518372,1000000,0.024453144520521164,0.8960906267166138,,,0.3084280078406455,0.36212974262939995,7287,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,bonsai_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000,0.8961,0.102826,29,1.045893,,,,47.781490325927734,6776,6776,0,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n30_s42_default_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n30_s42_default_minfarthestpose_sharedcam,bonsai_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,7287,,,colmap,30.0
colmap,40,42,,268,,,,,0,10,minfarthestpose,40,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,17.9700927734375,0.3304239511489868,0.6273350119590759,291657,0.021387474611401558,1.0151371955871582,0.06718946993350983,0.051005151122808456,0.40210942249161763,0.3189484436694192,268,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n40_s42_default_mpinhole_minfarthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n40_s42_default_mpinhole_minfarthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,ship_1_n40_s42_default_mpinhole_minfarthestpose_sharedcam_i40_gteval_steps15000,1.0151,0.038216,9,0.598282,,,,4.938432693481445,6592,6592,0,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n40_s42_default_mpinhole_minfarthestpose_sharedcam/eval_results.json,ship_1_n40_s42_default_mpinhole_minfarthestpose_sharedcam,ship_1_n40_s42_default_mpinhole_minfarthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,268,,,colmap,40.0
