method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,depth_lambda_jitter
colmap,87,42,,10069,,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,25.237646102905273,0.05288347229361534,0.9056525826454163,1000000,0.11235309392213821,10.380709648132324,0.018892427906394005,0.01985725574195385,0.8707738399186097,0.1210125354067277,10069,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000,10.4269,0.396164,87,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000_val_step14999.json,10069,colmap |  | ,0.0
colmap,100,42,,17352,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,22.163246154785156,0.3494715690612793,0.5586552619934082,1000000,0.002470657927915454,0.1106053814291954,,,0.42783902572919363,0.3399620648095866,17352,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.0986,0.006893,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_default_farthestpose_sharedcam,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,17352,colmap |  | ,0.0
colmap,100,42,,80892,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,24.653011322021484,0.17453931272029877,0.7761514782905579,1000000,0.0010529047576710582,0.09680686891078949,,,0.7091194321343928,0.2170303140499316,80892,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1581,0.013152,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,80892,colmap |  | ,0.0
vggt,87,42,0.0,95700,random,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,20.279659271240234,0.07529760897159576,0.7724337577819824,1000000,0.00617975415661931,0.24099265038967133,0.08789084851741791,0.02068280801177025,0.6872176365894185,0.18723766700252514,95700,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_steps15000,0.3347,0.019021,87,0.0458,0.013,0.1166,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_steps15000_val_step14999.json,95700,vggt |  | ,0.0
vggt,100,42,0.0,110000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.437223434448242,0.33573752641677856,0.26764628291130066,1000000,0.01355738379061222,0.4932827353477478,,,0.17861720104353862,0.40318530316010126,110000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_steps15000,0.7161,0.065623,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p110000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p110000_random_farthestpose,bicycle_4_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_steps15000_val_step14999.json,110000,vggt |  | ,0.0
vggt,100,42,0.0,110000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.447128295898438,0.39701172709465027,0.5599995255470276,1000000,0.02200990356504917,0.7792759537696838,,,0.3119438522972791,0.3594458835447952,110000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_steps15000,0.7215,0.105749,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_steps15000_val_step14999.json,110000,vggt |  | ,0.0
colmap,87,42,,10069,,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,points,,0.01,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,25.171138763427734,0.05332547053694725,0.9049533009529114,1000000,0.11230544745922089,10.381696701049805,0.018894493579864502,0.019853845238685608,0.868860447436784,0.12155400167185117,10069,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.01_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.01_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.01_steps15000,10.4269,0.396164,87,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.01_steps15000_val_step14999.json,10069,colmap |  | points,0.01
colmap,100,42,,17352,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,points,,0.01,,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,22.19541358947754,0.35155153274536133,0.550025224685669,1000000,0.0024445869494229555,0.10682931542396545,,,0.42210398532106475,0.34279502899141506,17352,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.01_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.01_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.01_steps15000,0.0986,0.006893,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_default_farthestpose_sharedcam,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.01_steps15000_val_step14999.json,17352,colmap |  | points,0.01
colmap,100,42,,80892,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,points,,0.01,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,25.025754928588867,0.17221306264400482,0.7876349091529846,1000000,0.0010252580977976322,0.09878763556480408,,,0.7241735049971828,0.21206250422766293,80892,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.01_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.01_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.01_steps15000,0.1581,0.013152,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.01_steps15000_val_step14999.json,80892,colmap |  | points,0.01
colmap,87,42,,10069,,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,points,,0.1,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,25.277332305908203,0.05302310734987259,0.9056869149208069,1000000,0.11218816041946411,10.380377769470215,0.018790937960147858,0.019724035635590553,0.8714426524787077,0.12103137194364136,10069,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.1_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.1_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.1_steps15000,10.4269,0.396164,87,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.1_steps15000_val_step14999.json,10069,colmap |  | points,0.1
colmap,100,42,,17352,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,points,,0.1,,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,21.965484619140625,0.3727203905582428,0.525836706161499,1000000,0.002293899655342102,0.09586378186941147,,,0.39063351277487085,0.35589182282953735,17352,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.1_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.1_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.1_steps15000,0.0986,0.006893,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_default_farthestpose_sharedcam,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.1_steps15000_val_step14999.json,17352,colmap |  | points,0.1
