method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,real_num_points,file_path,rre,rte,plot_series,num_points_jitter
colmap,100,42,,16627,,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999.0,15000.0,default,MCMC,gsplat,21.084463119506836,0.3635961413383484,0.49296194314956665,1000000.0,0.004348000045865774,0.10489999502897263,16627.0,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.1049,0.017545,colmap |  |  | ,14964.300000000001
vggt,100,42,0.0,1000,confidence,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.76557731628418,0.6841458082199097,0.32217979431152344,1000000.0,0.015425998717546463,0.8569999933242798,1000.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | confidence |  | ,1000.0
vggt,100,42,0.0,1000,random,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.7523193359375,0.690604567527771,0.3224100172519684,1000000.0,0.015425998717546463,0.8569999933242798,1000.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | random |  | ,1050.0
vggt,100,42,0.0,1000,voxels,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.851036071777344,0.7115545272827148,0.3261961042881012,1000000.0,0.015425998717546463,0.8569999933242798,980.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | voxels |  | ,1100.0
vggt,100,42,0.0,5000,confidence,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.459238052368164,0.5643404126167297,0.29915931820869446,1000000.0,0.015425998717546463,0.8569999933242798,5000.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p5000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | confidence |  | ,5000.0
vggt,100,42,0.0,5000,random,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.4741153717041,0.5690560936927795,0.29891395568847656,1000000.0,0.015425998717546463,0.8569999933242798,5000.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p5000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | random |  | ,5250.0
vggt,100,42,0.0,5000,voxels,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.51272964477539,0.5924565196037292,0.30299580097198486,1000000.0,0.015425998717546463,0.8569999933242798,4940.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p5000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | voxels |  | ,5500.0
vggt,100,42,0.0,10000,confidence,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.38921546936035,0.5360164642333984,0.2914009392261505,1000000.0,0.015425998717546463,0.8569999933242798,10000.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | confidence |  | ,10000.0
vggt,100,42,0.0,10000,random,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.420656204223633,0.531754195690155,0.2905387878417969,1000000.0,0.015425998717546463,0.8569999933242798,10000.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | random |  | ,10500.0
vggt,100,42,0.0,10000,voxels,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.401622772216797,0.5528735518455505,0.29297301173210144,1000000.0,0.015425998717546463,0.8569999933242798,10703.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | voxels |  | ,11000.0
vggt,100,42,0.0,20000,confidence,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.345441818237305,0.5104482769966125,0.2830008864402771,1000000.0,0.015425998717546463,0.8569999933242798,20000.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p20000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | confidence |  | ,20000.0
vggt,100,42,0.0,20000,random,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.328176498413086,0.4987592101097107,0.28163763880729675,1000000.0,0.015425998717546463,0.8569999933242798,20000.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p20000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | random |  | ,21000.0
vggt,100,42,0.0,20000,voxels,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.337535858154297,0.5294540524482727,0.2870464026927948,1000000.0,0.015425998717546463,0.8569999933242798,20604.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p20000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | voxels |  | ,22000.0
vggt,100,42,0.0,30000,confidence,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.296634674072266,0.5038914084434509,0.2799018323421478,1000000.0,0.015425998717546463,0.8569999933242798,30000.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p30000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | confidence |  | ,30000.0
vggt,100,42,0.0,30000,random,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.264673233032227,0.4785524606704712,0.2747027277946472,1000000.0,0.015425998717546463,0.8569999933242798,30000.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p30000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | random |  | ,31500.0
vggt,100,42,0.0,30000,voxels,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.328948974609375,0.5154411792755127,0.28275877237319946,1000000.0,0.015425998717546463,0.8569999933242798,31293.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p30000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | voxels |  | ,33000.0
vggt,100,42,0.0,50000,confidence,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.267866134643555,0.49669647216796875,0.27425509691238403,1000000.0,0.015425998717546463,0.8569999933242798,50000.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | confidence |  | ,50000.0
vggt,100,42,0.0,50000,random,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.240901947021484,0.46110835671424866,0.26852500438690186,1000000.0,0.015425998717546463,0.8569999933242798,50000.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | random |  | ,52500.0
vggt,100,42,0.0,50000,voxels,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.269521713256836,0.5007368326187134,0.2775876820087433,1000000.0,0.015425998717546463,0.8569999933242798,50809.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | voxels |  | ,55000.00000000001
vggt,100,42,0.0,75000,confidence,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.26753044128418,0.49616312980651855,0.269941508769989,1000000.0,0.015425998717546463,0.8569999933242798,75000.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p75000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | confidence |  | ,75000.0
